#Drug,Gene
CID000003488,P1559
CID000003488,P8647
CID000077992,P3351
CID000077992,P3350
CID000077992,P3352
CID000002083,P1269
CID000002083,P124274
CID000002083,P2849
CID000002083,P2847
CID000002083,P2844
CID000002083,P2845
CID000002083,P2842
CID000002083,P54112
CID000002083,P136
CID000002083,P135
CID000002083,P134
CID000002083,P10692
CID000002083,P9287
CID000002083,P9283
CID000002083,P4985
CID000002083,P4987
CID000002083,P10663
CID000002083,P4988
CID000002083,P27201
CID000002083,P4889
CID000002083,P221391
CID000002083,P2850
CID000002083,P84539
CID000002083,P84634
CID000002083,P4887
CID000002083,P54329
CID000002083,P54328
CID000002083,P10886
CID000002083,P10887
CID000002083,P729230
CID000002083,P23566
CID000002083,P10888
CID000002083,P9170
CID000002083,P6010
CID000002083,P56923
CID000002083,P2798
CID000002083,P128674
CID000002083,P10803
CID000002083,P319100
CID000002083,P23596
CID000002083,P94233
CID000002083,P3274
CID000002083,P285601
CID000002083,P2827
CID000002083,P53831
CID000002083,P1902
CID000002083,P338557
CID000002083,P1234
CID000002083,P1230
CID000002083,P1813
CID000002083,P1232
CID000002083,P1233
CID000002083,P1238
CID000002083,P2837
CID000002083,P2835
CID000002083,P2834
CID000002083,P2832
CID000002083,P2831
CID000002083,P2830
CID000002083,P344561
CID000002083,P2652
CID000002083,P3354
CID000002083,P5737
CID000002083,P1241
CID000002083,P8811
CID000002083,P3351
CID000002083,P83550
CID000002083,P3350
CID000002083,P623
CID000002083,P2861
CID000002083,P64106
CID000002083,P3352
CID000002083,P339403
CID000002083,P153
CID000002083,P7852
CID000002083,P83873
CID000002083,P152
CID000002083,P155
CID000002083,P9038
CID000002083,P134864
CID000002083,P64582
CID000002083,P4829
CID000002083,P5540
CID000002083,P3361
CID000002083,P3362
CID000002083,P3363
CID000002083,P186
CID000002083,P187
CID000002083,P185
CID000002083,P2587
CID000002083,P9293
CID000002083,P5021
CID000002083,P57007
CID000002083,P4986
CID000002083,P118442
CID000002083,P8477
CID000002083,P4157
CID000002083,P84109
CID000002083,P2925
CID000002083,P5956
CID000002083,P6752
CID000002083,P6753
CID000002083,P350383
CID000002083,P6751
CID000002083,P6754
CID000002083,P6755
CID000002083,P2693
CID000002083,P151
CID000002083,P150
CID000002083,P2862
CID000002083,P2863
CID000002083,P887
CID000002083,P886
CID000002083,P554
CID000002083,P4886
CID000002083,P552
CID000002083,P59340
CID000002083,P3062
CID000002083,P3061
CID000002083,P4923
CID000002083,P1816
CID000002083,P5729
CID000002083,P4161
CID000002083,P4160
CID000002083,P11245
CID000002083,P7201
CID000002083,P139760
CID000002083,P146
CID000002083,P147
CID000002083,P134391
CID000002083,P140
CID000002083,P51289
CID000002083,P611
CID000002083,P148
CID000002083,P3355
CID000002083,P5734
CID000002083,P3357
CID000002083,P3356
CID000002083,P5731
CID000002083,P10316
CID000002083,P5733
CID000002083,P5732
CID000002083,P5739
CID000002083,P3358
CID000002083,P23620
CID000002083,P5995
CID000002083,P56413
CID000002083,P1812
CID000002083,P6915
CID000002083,P4158
CID000002083,P4159
CID000002083,P11250
CID000002083,P1814
CID000002083,P8484
CID000002083,P81491
CID000002083,P83551
CID000002083,P680
CID000002083,P11255
CID000002088,P23590
CID000002088,P2224
CID000002088,P57107
CID000002088,P23623
CID000002088,P9453
CID000003658,P3269
CID000002802,P2569
CID000002802,P2568
CID000002802,P2554
CID000002802,P200959
CID000002802,P2561
CID000002802,P2560
CID000002802,P2563
CID000002802,P2562
CID000002802,P2564
CID000002802,P2570
CID000002803,P1269
CID000002803,P124274
CID000002803,P2849
CID000002803,P2847
CID000002803,P2844
CID000002803,P2845
CID000002803,P2842
CID000002803,P54112
CID000002803,P136
CID000002803,P135
CID000002803,P134
CID000002803,P10692
CID000002803,P26
CID000002803,P9287
CID000002803,P9283
CID000002803,P4985
CID000002803,P4987
CID000002803,P10663
CID000002803,P4988
CID000002803,P27201
CID000002803,P4889
CID000002803,P8639
CID000002803,P221391
CID000002803,P2850
CID000002803,P84539
CID000002803,P84634
CID000002803,P4887
CID000002803,P54329
CID000002803,P54328
CID000002803,P10886
CID000002803,P10887
CID000002803,P729230
CID000002803,P23566
CID000002803,P10888
CID000002803,P9170
CID000002803,P6010
CID000002803,P56923
CID000002803,P2798
CID000002803,P128674
CID000002803,P10803
CID000002803,P319100
CID000002803,P23596
CID000002803,P94233
CID000002803,P314
CID000002803,P3274
CID000002803,P285601
CID000002803,P2827
CID000002803,P53831
CID000002803,P1902
CID000002803,P338557
CID000002803,P1234
CID000002803,P6580
CID000002803,P1230
CID000002803,P1813
CID000002803,P1232
CID000002803,P1233
CID000002803,P1238
CID000002803,P2837
CID000002803,P2835
CID000002803,P2834
CID000002803,P2832
CID000002803,P2831
CID000002803,P2830
CID000002803,P344561
CID000002803,P2652
CID000002803,P3354
CID000002803,P5737
CID000002803,P1241
CID000002803,P8811
CID000002803,P3351
CID000002803,P83550
CID000002803,P3350
CID000002803,P623
CID000002803,P2861
CID000002803,P64106
CID000002803,P3352
CID000002803,P339403
CID000002803,P153
CID000002803,P7852
CID000002803,P83873
CID000002803,P152
CID000002803,P155
CID000002803,P9038
CID000002803,P134864
CID000002803,P64582
CID000002803,P4829
CID000002803,P5540
CID000002803,P3361
CID000002803,P3362
CID000002803,P3363
CID000002803,P186
CID000002803,P187
CID000002803,P185
CID000002803,P2587
CID000002803,P9293
CID000002803,P5021
CID000002803,P57007
CID000002803,P4986
CID000002803,P118442
CID000002803,P8477
CID000002803,P4157
CID000002803,P84109
CID000002803,P2925
CID000002803,P5956
CID000002803,P6752
CID000002803,P6753
CID000002803,P350383
CID000002803,P6751
CID000002803,P6754
CID000002803,P6755
CID000002803,P2693
CID000002803,P151
CID000002803,P150
CID000002803,P2862
CID000002803,P2863
CID000002803,P887
CID000002803,P886
CID000002803,P554
CID000002803,P4886
CID000002803,P552
CID000002803,P59340
CID000002803,P3062
CID000002803,P3061
CID000002803,P4923
CID000002803,P1816
CID000002803,P5729
CID000002803,P4161
CID000002803,P4160
CID000002803,P11245
CID000002803,P7201
CID000002803,P139760
CID000002803,P146
CID000002803,P147
CID000002803,P134391
CID000002803,P140
CID000002803,P51289
CID000002803,P611
CID000002803,P148
CID000002803,P3355
CID000002803,P5734
CID000002803,P3357
CID000002803,P3356
CID000002803,P5731
CID000002803,P10316
CID000002803,P5733
CID000002803,P5732
CID000002803,P5739
CID000002803,P3358
CID000002803,P23620
CID000002803,P5995
CID000002803,P56413
CID000002803,P1812
CID000002803,P6915
CID000002803,P4158
CID000002803,P4159
CID000002803,P11250
CID000002803,P1814
CID000002803,P8484
